# SHSynth 球谐综合结果  系数=shkit_coeffs.sh  nmax=12  高斯平滑=0 km  物理量=unknown
# shsynth_meta {"source_coeffs": "shkit_coeffs.sh", "source_coeffs_path": "D:\\华为家庭存储\\1_Joe Science Data\\1_1_GRACE\\1_data\\2_Level-2\\SHKit\\shkit_coeffs.sh", "nmax": 12, "coeff_nmax": 12, "ntime": 1, "time_index": 0, "field_unit_in": "unknown", "field_unit_out": "unknown", "gaussian_km": 0.0, "gaussian_method": null, "units": null, "producer": "SHSynth"}
lat,lon,value
6,140,-0.2874841195
6.5,60,-2.733738391
6.5,60.5,-2.735627368
6.5,61,-2.73720236
6.5,61.5,-2.738424523
6.5,62,-2.739257051
6.5,62.5,-2.739665392
6.5,63,-2.739617427
6.5,63.5,-2.739083642
6.5,64,-2.738037266
6.5,64.5,-2.736454384
6.5,65,-2.734314033
6.5,65.5,-2.731598262
6.5,66,-2.728292176
6.5,66.5,-2.724383948
6.5,67,-2.719864812
6.5,67.5,-2.714729032
6.5,68,-2.708973842
6.5,68.5,-2.702599375
6.5,69,-2.695608563
6.5,69.5,-2.688007018
6.5,70,-2.679802905
6.5,70.5,-2.67100679
6.5,71,-2.661631473
6.5,71.5,-2.651691819
6.5,72,-2.641204567
6.5,72.5,-2.630188139
6.5,73,-2.618662434
6.5,73.5,-2.606648626
6.5,74,-2.594168952
6.5,74.5,-2.581246504
6.5,75,-2.567905012
6.5,75.5,-2.554168646
6.5,76,-2.540061801
6.5,76.5,-2.525608907
6.5,77,-2.51083423
6.5,77.5,-2.495761691
6.5,78,-2.480414688
6.5,78.5,-2.464815933
6.5,79,-2.448987298
6.5,79.5,-2.432949672
6.5,80,-2.416722831
6.5,80.5,-2.400325326
6.5,81,-2.383774376
6.5,81.5,-2.367085782
6.5,82,-2.350273855
6.5,82.5,-2.333351352
6.5,83,-2.316329436
6.5,83.5,-2.299217642
6.5,84,-2.282023859
6.5,84.5,-2.264754332
6.5,85,-2.247413665
6.5,85.5,-2.230004851
6.5,86,-2.2125293
6.5,86.5,-2.194986894
6.5,87,-2.177376039
6.5,87.5,-2.159693735
6.5,88,-2.141935656
6.5,88.5,-2.124096235
6.5,89,-2.106168761
6.5,89.5,-2.088145482
6.5,90,-2.070017711
6.5,90.5,-2.051775944
6.5,91,-2.033409982
6.5,91.5,-2.014909051
6.5,92,-1.99626193
6.5,92.5,-1.977457087
6.5,93,-1.958482804
6.5,93.5,-1.939327314
6.5,94,-1.919978934
6.5,94.5,-1.900426198
6.5,95,-1.880657987
6.5,95.5,-1.860663665
6.5,96,-1.840433199
6.5,96.5,-1.819957287
6.5,97,-1.79922748
6.5,97.5,-1.778236297
6.5,98,-1.756977333
6.5,98.5,-1.735445368
6.5,99,-1.713636467
6.5,99.5,-1.691548064
6.5,100,-1.669179058
6.5,100.5,-1.646529879
6.5,101,-1.623602565
6.5,101.5,-1.600400813
6.5,102,-1.576930034
6.5,102.5,-1.553197391
6.5,103,-1.529211828
6.5,103.5,-1.504984089
6.5,104,-1.480526725
6.5,104.5,-1.455854089
6.5,105,-1.430982323
6.5,105.5,-1.405929327
6.5,106,-1.380714722
6.5,106.5,-1.355359798
6.5,107,-1.329887448
6.5,107.5,-1.304322092
6.5,108,-1.278689592
6.5,108.5,-1.253017147
6.5,109,-1.227333184
6.5,109.5,-1.201667234
6.5,110,-1.176049797
6.5,110.5,-1.150512198
6.5,111,-1.125086432
6.5,111.5,-1.099805002
6.5,112,-1.074700744
6.5,112.5,-1.04980665
6.5,113,-1.025155679
6.5,113.5,-1.000780571
6.5,114,-0.9767136426
6.5,114.5,-0.9529865966
6.5,115,-0.9296303146
6.5,115.5,-0.906674658
6.5,116,-0.8841482661
6.5,116.5,-0.8620783575
6.5,117,-0.8404905348
6.5,117.5,-0.8194085944
6.5,118,-0.7988543427
6.5,118.5,-0.7788474209
6.5,119,-0.7594051387
6.5,119.5,-0.7405423194
6.5,120,-0.7222711569
6.5,120.5,-0.7046010869
6.5,121,-0.687538673
6.5,121.5,-0.6710875087
6.5,122,-0.6552481367
6.5,122.5,-0.640017987
6.5,123,-0.6253913335
6.5,123.5,-0.611359271
6.5,124,-0.597909712
6.5,124.5,-0.5850274057
6.5,125,-0.5726939766
6.5,125.5,-0.5608879856
6.5,126,-0.5495850122
6.5,126.5,-0.5387577574
6.5,127,-0.5283761675
6.5,127.5,-0.5184075779
6.5,128,-0.5088168765
6.5,128.5,-0.4995666847
6.5,129,-0.4906175565
6.5,129.5,-0.4819281931
6.5,130,-0.4734556721
6.5,130.5,-0.4651556896
6.5,131,-0.456982814
6.5,131.5,-0.4488907484
6.5,132,-0.4408326016
6.5,132.5,-0.432761163
6.5,133,-0.4246291827
6.5,133.5,-0.4163896516
6.5,134,-0.4079960804
6.5,134.5,-0.3994027765
6.5,135,-0.3905651145
6.5,135.5,-0.3814398
6.5,136,-0.3719851227
6.5,136.5,-0.3621611994
6.5,137,-0.3519302014
6.5,137.5,-0.3412565685
6.5,138,-0.3301072042
6.5,138.5,-0.3184516529
6.5,139,-0.3062622568
6.5,139.5,-0.2935142916
6.5,140,-0.2801860793
7,60,-2.713406398
7,60.5,-2.71573022
7,61,-2.717729561
7,61.5,-2.719364278
7,62,-2.7205963
7,62.5,-2.721389848
7,63,-2.721711627
7,63.5,-2.721531003
7,64,-2.720820142
7,64.5,-2.71955414
7,65,-2.717711115
7,65.5,-2.715272279
7,66,-2.712221989
7,66.5,-2.708547759
7,67,-2.704240264
7,67.5,-2.699293306
7,68,-2.693703768
7,68.5,-2.687471534
7,69,-2.6805994
7,69.5,-2.673092958
7,70,-2.664960464
7,70.5,-2.656212687
7,71,-2.646862751
7,71.5,-2.636925953
7,72,-2.626419578
7,72.5,-2.615362702
7,73,-2.603775983
7,73.5,-2.591681459
7,74,-2.579102326
7,74.5,-2.566062725
7,75,-2.552587525
7,75.5,-2.53870211
7,76,-2.524432164
7,76.5,-2.509803467
7,77,-2.494841692
7,77.5,-2.479572213
7,78,-2.464019921
7,78.5,-2.448209047
7,79,-2.432163001
7,79.5,-2.415904219
7,80,-2.399454025
7,80.5,-2.382832504
7,81,-2.366058389
7,81.5,-2.349148967
7,82,-2.332119991
7,82.5,-2.314985615
7,83,-2.297758339
7,83.5,-2.280448967
7,84,-2.263066588
7,84.5,-2.24561856
7,85,-2.228110513
7,85.5,-2.210546373
7,86,-2.192928384
7,86.5,-2.175257153
7,87,-2.157531707
7,87.5,-2.139749555
7,88,-2.121906766
7,88.5,-2.103998053
7,89,-2.086016873
7,89.5,-2.067955522
7,90,-2.049805253
7,90.5,-2.031556389
7,91,-2.01319845
7,91.5,-1.994720276
7,92,-1.976110164
7,92.5,-1.957356003
7,93,-1.938445407
7,93.5,-1.919365864
7,94,-1.900104868
7,94.5,-1.880650066
7,95,-1.860989395
7,95.5,-1.84111122
7,96,-1.821004476
7,96.5,-1.800658795
7,97,-1.780064639
7,97.5,-1.759213426
7,98,-1.738097651
7,98.5,-1.716710995
7,99,-1.695048443
7,99.5,-1.673106375
7,100,-1.650882665
7,100.5,-1.628376766
7,101,-1.605589784
7,101.5,-1.582524544
7,102,-1.559185648
7,102.5,-1.535579522
7,103,-1.511714447
7,103.5,-1.487600588
7,104,-1.463249998
7,104.5,-1.438676625
7,105,-1.413896296
7,105.5,-1.388926688
7,106,-1.363787296
7,106.5,-1.338499375
7,107,-1.31308588
7,107.5,-1.287571385
7,108,-1.261981994
7,108.5,-1.23634524
7,109,-1.210689965
7,109.5,-1.185046194
7,110,-1.159444999
7,110.5,-1.133918342
7,111,-1.108498923
7,111.5,-1.083220001
7,112,-1.058115221
7,112.5,-1.033218425
7,113,-1.008563458
7,113.5,-0.9841839684
7,114,-0.9601132047
7,114.5,-0.9363838074
7,115,-0.9130275997
7,115.5,-0.8900753778
7,116,-0.8675567013
7,116.5,-0.8454996868
7,117,-0.8239308048
7,117.5,-0.802874682
7,118,-0.7823539108
7,118.5,-0.762388867
7,119,-0.7429975376
7,119.5,-0.7241953603
7,120,-0.7059950752
7,120.5,-0.6884065918
7,121,-0.6714368706
7,121.5,-0.6550898225
7,122,-0.6393662251
7,122.5,-0.624263659
7,123,-0.6097764634
7,123.5,-0.5958957121
7,124,-0.582609211
7,124.5,-0.5699015174
7,125,-0.5577539807
7,125.5,-0.5461448054
7,126,-0.5350491361
7,126.5,-0.5244391637
7,127,-0.5142842536
7,127.5,-0.5045510936
7,128,-0.4952038623
7,128.5,-0.486204416
7,129,-0.4775124931
7,129.5,-0.4690859352
7,130,-0.4608809228
7,130.5,-0.4528522241
7,131,-0.4449534556
7,131.5,-0.4371373518
7,132,-0.4293560427
7,132.5,-0.4215613372
7,133,-0.4137050085
7,133.5,-0.4057390827
7,134,-0.3976161239
7,134.5,-0.389289518
7,135,-0.3807137497
7,135.5,-0.371844672
7,136,-0.362639766
7,136.5,-0.3530583878
7,137,-0.3430620028
7,137.5,-0.3326144025
7,138,-0.3216819047
7,138.5,-0.3102335341
7,139,-0.2982411819
7,139.5,-0.2856797444
7,140,-0.2725272372
7.5,60,-2.691308656
7.5,60.5,-2.694078522
7.5,61,-2.696514989
7.5,61.5,-2.698576607
7.5,62,-2.700224026
7.5,62.5,-2.701420225
7.5,63,-2.702130711
7.5,63.5,-2.702323699
7.5,64,-2.701970267
7.5,64.5,-2.701044482
7.5,65,-2.699523504
7.5,65.5,-2.697387669
7.5,66,-2.694620532
7.5,66.5,-2.691208901
7.5,67,-2.687142834
7.5,67.5,-2.682415616
7.5,68,-2.677023711
7.5,68.5,-2.670966694
7.5,69,-2.664247158
7.5,69.5,-2.656870602
7.5,70,-2.648845303
7.5,70.5,-2.640182161
7.5,71,-2.630894546
7.5,71.5,-2.620998113
7.5,72,-2.610510615
7.5,72.5,-2.599451703
7.5,73,-2.587842722
7.5,73.5,-2.575706493
7.5,74,-2.563067095
7.5,74.5,-2.549949644
7.5,75,-2.536380074
7.5,75.5,-2.52238491
7.5,76,-2.507991055
7.5,76.5,-2.493225572
7.5,77,-2.478115476
7.5,77.5,-2.462687531
7.5,78,-2.446968061
7.5,78.5,-2.430982762
7.5,79,-2.414756528
7.5,79.5,-2.398313296
7.5,80,-2.381675891
7.5,80.5,-2.364865892
7.5,81,-2.347903513
7.5,81.5,-2.330807493
7.5,82,-2.313595003
7.5,82.5,-2.296281569
7.5,83,-2.27888101
7.5,83.5,-2.261405388
7.5,84,-2.243864979
7.5,84.5,-2.226268251
7.5,85,-2.208621863
7.5,85.5,-2.190930674
7.5,86,-2.173197769
7.5,86.5,-2.155424496
7.5,87,-2.137610515
7.5,87.5,-2.119753865
7.5,88,-2.10185103
7.5,88.5,-2.083897032
7.5,89,-2.065885517
7.5,89.5,-2.047808864
7.5,90,-2.029658296
7.5,90.5,-2.011423999
7.5,91,-1.993095243
7.5,91.5,-1.974660522
7.5,92,-1.956107686
7.5,92.5,-1.93742408
